epoch,train_loss,train_accuracy,timestamp
1,3.6772595480700634,"tensor(-1.5085, device='cuda:0')",2026-02-26 07:27:28
2,2.334090315813857,"tensor(-0.4994, device='cuda:0')",2026-02-26 07:34:02
3,2.1973709593478,"tensor(-0.2728, device='cuda:0')",2026-02-26 07:40:24
4,2.0322805692938934,"tensor(-0.2161, device='cuda:0')",2026-02-26 07:46:48
5,1.7023887517275569,"tensor(-0.1998, device='cuda:0')",2026-02-26 07:53:18
6,1.4508207003564988,"tensor(0.1158, device='cuda:0')",2026-02-26 07:59:44
7,1.3385145249111312,"tensor(0.1719, device='cuda:0')",2026-02-26 08:05:59
8,1.2348011475812672,"tensor(0.1965, device='cuda:0')",2026-02-26 08:11:58
9,1.1600840777409074,"tensor(0.2795, device='cuda:0')",2026-02-26 08:17:51
10,1.0453892658583652,"tensor(0.2647, device='cuda:0')",2026-02-26 08:23:47
11,1.025963262605824,"tensor(0.3717, device='cuda:0')",2026-02-26 08:29:45
12,0.9910038238097179,"tensor(0.3571, device='cuda:0')",2026-02-26 08:35:50
13,0.8973279895884146,"tensor(0.4312, device='cuda:0')",2026-02-26 08:41:55
14,0.8879290755025875,"tensor(0.3958, device='cuda:0')",2026-02-26 08:47:54
15,0.8772522215556381,"tensor(0.4164, device='cuda:0')",2026-02-26 08:54:00
16,0.8256698700886472,"tensor(0.4441, device='cuda:0')",2026-02-26 09:00:03
17,0.8090112683804411,"tensor(0.4767, device='cuda:0')",2026-02-26 09:06:08
18,0.7878983141364235,"tensor(0.4651, device='cuda:0')",2026-02-26 09:12:15
19,0.7598013615137652,"tensor(0.5013, device='cuda:0')",2026-02-26 09:18:18
20,0.7711428254982806,"tensor(0.4908, device='cuda:0')",2026-02-26 09:24:22
21,0.7382939236896827,"tensor(0.4941, device='cuda:0')",2026-02-26 09:30:25
22,0.7270306158544761,"tensor(0.5181, device='cuda:0')",2026-02-26 09:36:29
23,0.7422109286307841,"tensor(0.5290, device='cuda:0')",2026-02-26 09:42:32
24,0.7112443657956065,"tensor(0.5250, device='cuda:0')",2026-02-26 09:48:40
25,0.7010735193323484,"tensor(0.5450, device='cuda:0')",2026-02-26 09:54:48
